CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-2759-46,01-102,ciudad capital,zona 1,instituto privado mixto de educacion diversificada dieguez olaverri,12a. 2a. calle-31,22535170,zizi arely lopez chinchilla,----,diversificado,privado,urbana,cerrada temporalmente,monolingue,intermedia,diario(regular),guatemala norte
00-01-2760-46,01-315,ciudad capital,zona 1,instituto nacional central para varones,9a av. 9-27,22328285,aura marina garrido morales,----,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),guatemala norte
00-01-2798-46,01-317,ciudad capital,zona 1,instituto particular para senoritas nuestra senora del carmen,11 av. 3-17,22326869,mariano domingo estrada teletor,maria del carmen turcios de pozo,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-2871-46,01-403,ciudad capital,zona 1,instituto y academia practica comercial,6a. calle 0-25,22202869,carlos humberto gonzalez de leon,,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
00-01-2872-46,01-403,ciudad capital,zona 1,instituto y academia practica comercial por madurez,6a. calle 0-25,22202869,carlos humberto gonzalez de leon,,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
00-01-2895-46,01-305,ciudad capital,zona 1,liceo jireh,"6a. avenida 3-24,",22329209,isis irazema canel palma,--------------,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-2900-46,01-,ciudad capital,zona 1,escuela sistematizada en computacion,4a. avenida 1-21 zona 1,22320075,maria felicita roque carrera,--------------,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-2903-46,01-315,ciudad capital,zona 1,instituto cientifico comercial en computacion,6a. avenida 1-34,22538736,aura marina garrido morales,---,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-2904-46,01-210,ciudad capital,zona 1,colegio salvador huguet,"5a. av. 2-31,",22380766,diniz oralia morales munoz,,diversificado,privado,urbana,temporal titulos,monolingue,matutina,diario(regular),guatemala norte
00-01-2906-46,01-312,ciudad capital,zona 1,instituto de diversificado liceo cristiano cantares,12 av. c 30-3,22211142,amado salomon flores perez,,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
